name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,28,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,28,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,28,3,P3,k4,cegar3,0,0.12s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,28,3,P3,k6,cegar3,0,5.03s,SAT,5,0.13s,2,106,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,29,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,29,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,29,3,P3,k4,cegar3,0,0.22s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,29,3,P3,k6,cegar3,0,16.78s,SAT,7,0.31s,4,244,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,30,3,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,30,3,P3,k2,cegar3,0,0.14s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,30,3,P3,k4,cegar3,0,0.88s,SAT,4,0.32s,4,12,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,30,3,P3,k6,cegar3,0,107.79s,SAT,6,0.34s,5,1038,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,31,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,31,3,P3,k2,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,31,3,P3,k4,cegar3,0,0.52s,SAT,2,0.10s,1,10,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,31,3,P3,k6,cegar3,0,3.72s,SAT,4,0.09s,1,80,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,1,P3,k1,cegar3,0,0.47s,SAT,3,0.10s,1,8,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,1,P3,k2,cegar3,0,1.18s,SAT,3,0.10s,1,26,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,1,P3,k4,cegar3,0,1.35s,SAT,3,0.11s,1,26,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,1,P3,k6,cegar3,0,1.27s,SAT,3,0.11s,1,26,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,32,3,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,32,3,P3,k2,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,32,3,P3,k4,cegar3,0,0.31s,UNSAT,4,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,32,3,P3,k6,cegar3,0,3.06s,SAT,5,0.33s,4,46,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,33,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,33,3,P3,k2,cegar3,0,0.12s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,33,3,P3,k4,cegar3,0,3.97s,SAT,3,0.16s,2,91,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,33,3,P3,k6,cegar3,0,16.22s,SAT,4,0.15s,2,322,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,3,P3,k2,cegar3,0,0.11s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,3,P3,k4,cegar3,0,0.21s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,3,3,P3,k6,cegar3,0,15.62s,SAT,8,0.32s,4,210,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,34,3,P3,k1,cegar3,0,0.09s,SAT,1,0.09s,1,1,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,34,3,P3,k2,cegar3,0,0.55s,SAT,2,0.16s,2,11,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,34,3,P3,k4,cegar3,0,11.43s,SAT,4,0.15s,2,209,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,34,3,P3,k6,cegar3,0,97.61s,SAT,6,0.15s,2,1067,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,35,3,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,35,3,P3,k2,cegar3,0,0.12s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,35,3,P3,k4,cegar3,0,4.44s,SAT,3,0.09s,1,95,0.00s
